20000000|"Carmencita"|
20000001|"N/A"|
20000002|"Charles Kayser"|
20000003|"John Ott"|
20000004|"James J. Corbett"|
20000005|"Peter Courtney"|
20000006|"Fred Ott"|
20000007|"Blanche Bayliss"|
20000008|"William Courtenay"|
20000009|"Chauncey Depew"|
20000010|"Grunato"|
20000011|"Madeleine Koehler"|
20000012|"Marcel Koehler"|
20000013|"Mrs. Auguste Lumiere"|
20000014|"François Clerc"|
20000015|"Benoît Duval"|
20000016|"Jeanne-Joséphine Lumière"|
20000017|"Ploetz"|
20000018|"Larella"|
20000019|"Delaware"|
20000020|"Empress Augusta Victoria"|
20000021|"Kaiser Wilhelm II"|
20000022|"Antoine Féraud"|
20000023|"Antoine Lumière"|
20000024|"Félicien Trewey"|
20000025|"Andrée Lumière"|
20000026|"Auguste Lumière"|
20000027|"Ancion"|
20000028|"Joseph Jefferson"|
20000029|"Scoops Carey"|
20000030|"Zane Grey"|
20000031|"Scott Stratton"|
20000032|"Georgette Méliès"|
20000033|"Tsar Nicholas II"|
20000034|"Tsarina Alexandra"|
20000035|"Georges Méliès"|
20000036|"Jehanne d'Alcy"|
20000037|"Jules-Eugène Legris"|
20000038|"Elise de Vère"|
20000039|"Fred Storey"|
20000040|"Julie Seale"|
20000041|"Ellen Daws"|
20000042|"Octavie Huvier"|
20000043|"Gaston Méliès"|
20000044|"Bob Fitzsimmons"|
20000045|"Billy Madden"|
20000046|"José Amigo"|
20000047|"Antonio Fino"|
20000048|"Fructuós Gelabert"|
20000049|"Antonio Masia"|
20000050|"Laura Bayley"|
20000051|"Tom Green"|
20000052|"Josef Sváb-Malostranský"|
20000053|"Ferdinand Gýra"|
20000054|"J. Stuart Blackton"|
20000055|"Ella Lola"|
20000056|"Mlle Barral"|
20000057|"Bleuette Bernon"|
20000058|"Carmelli"|
20000059|"Herbert Beerbohm Tree"|
20000060|"Dora Tulloch"|
20000061|"Charles Sefton"|
20000062|"George Albert Smith"|
20000063|"Charley Grapewin"|
20000064|"Mr. James"|
20000065|"Mr. Lepard"|
20000066|"Florence Williamson"|
20000067|"Mme. Ondine"|
20000068|"Harold Smith"|
20000069|"Sarah Bernhardt"|
20000070|"Pierre Magnier"|
20000071|"Suzanne Seylor"|
20000072|"Dorothy Smith"|
20000073|"May Clark"|
20000074|"Cecil M. Hepworth"|
20000075|"Eugen Skladanowsky"|
20000076|"Danjuro Ichikawa"|
20000077|"Kikugoro Onoe V"|
20000078|"Beatrice Day"|
20000079|"Harold Graham"|
20000080|"Mr. Graham"|
20000081|"John Jones"|
20000082|"Charles Manley"|
20000083|"Buffalo Bill Cody"|
20000084|"Jean Liézer"|
20000085|"Bretteau"|
20000086|"Ferdinand Zecca"|
20000087|"Rachel Gillet"|
20000088|"Daniel Smith"|
20000089|"Paul Méliès"|
20000090|"James H. White"|
20000091|"Thomas White"|
20000092|"Alice Guy"|
20000093|"Germaine Serand"|
20000094|"Yvonne Serand"|
20000095|"Victor André"|
20000096|"Blair"|
20000097|"Alfred Collins"|
20000098|"Gilbert M. 'Broncho Billy' Anderson"|
20000099|"A.C. Abadie"|
20000100|"George Barnes"|
20000101|"Edwin S. Porter"|
20000102|"Vivian Vaughan"|
20000103|"Arthur White"|
20000104|"Marguerite Thévenard"|
20000105|"Emily Lowry"|
20000106|"Martin Fuller"|
20000107|"Mrs. William Bechtel"|
20000108|"Walter Edwin"|
20000109|"Barbara Hepworth"|
20000110|"Fernande Albany"|
20000111|"H. Kyrle Bellew"|
20000112|"Paul Panzer"|
20000113|"Segundo de Chomón"|
20000114|"Julienne Mathieu"|
20000115|"Aline Boyd"|
20000116|"Phineas Nairs"|
20000117|"Jane Stewart"|
20000118|"George Voijere"|
20000119|"Henny Porten"|
20000120|"Rosa Porten"|
20000121|"Jack Brawn"|
20000122|"William V. Ranous"|
20000123|"Gerda Jensen"|
20000124|"Viggo Larsen"|
20000125|"Gustav Lund"|
20000126|"Kitty O'Neil"|
20000127|"Walter Griswoll"|
20000128|"H.L. Bascomb"|
20000129|"W.R. Floyd"|
20000130|"Elizabeth Tait"|
20000131|"John Tait"|
20000132|"Norman Campbell"|
20000133|"Manuel"|
20000134|"Gene Gauntier"|
20000135|"Harry T. Morey"|
20000136|"Georges Wague"|
20000137|"Henri Gouget"|
20000138|"Christiane Mandelys"|
20000139|"Thurston Harris"|
20000140|"Gertie Potter"|
20000141|"Arthur V. Johnson"|
20000142|"Linda Arvidson"|
20000143|"Gladys Egan"|
20000144|"Charles Inslee"|
20000145|"Charles Le Bargy"|
20000146|"Albert Lambert"|
20000147|"Gabrielle Robinne"|
20000148|"Florence Auer"|
20000149|"Edward Dillon"|
20000150|"D.W. Griffith"|
20000151|"George Gebhardt"|
20000152|"Marion Leonard"|
20000153|"Harry Solter"|
20000154|"Mabel Stoughton"|
20000155|"Florence Lawrence"|
20000156|"Anthony O'Sullivan"|
